element;article;symbole;numero_atomique;masse_atomique_u;categorie;groupe;periode;etat;electronegativite;point_fusion_c;point_ebullition_c;masse_volumique_g_cm3;annee_decouverte;configuration_electronique;etats_oxydation
Phosphore;le;P;15;30.973762;non-métal;15;3;solide;2.19;44.15;280.5;1.82;1669;[Ne]3s2 3p3;+5|+3|-3
Soufre;le;S;16;32.07;non-métal;16;3;solide;2.58;115.21;444.6;2.067;;[Ne]3s2 3p4;+6|+4|-2
Chlore;le;Cl;17;35.45;halogène;17;3;gaz;3.16;-101.5;-34.04;;1774;[Ne]3s2 3p5;+7|+5|+1|-1
Argon;l';Ar;18;39.9;gaz noble;18;3;gaz;;-189.35;-185.85;;1894;[Ne]3s2 3p6;0
Potassium;le;K;19;39.0983;métal alcalin;1;4;solide;0.82;63.38;758.85;0.89;1807;[Ar]4s1;+1
Calcium;le;Ca;20;40.08;métal alcalino-terreux;2;4;solide;1;841.85;1483.85;1.54;;[Ar]4s2;+2
Scandium;le;Sc;21;44.95591;métal de transition;3;4;solide;1.36;1540.85;2835.85;2.99;1879;[Ar]4s2 3d1;+3
Titane;le;Ti;22;47.867;métal de transition;4;4;solide;1.54;1667.85;3286.85;4.5;1791;[Ar]4s2 3d2;+4|+3|+2
Vanadium;le;V;23;50.9415;métal de transition;5;4;solide;1.63;1909.85;3406.85;6;1801;[Ar]4s2 3d3;+5|+4|+3|+2
Chrome;le;Cr;24;51.996;métal de transition;6;4;solide;1.66;1906.85;2670.85;7.15;1797;[Ar]3d5 4s1;+6|+3|+2
Manganèse;le;Mn;25;54.93804;métal de transition;7;4;solide;1.55;1245.85;2060.85;7.3;1774;[Ar]4s2 3d5;+7|+4|+3|+2
Fer;le;Fe;26;55.84;métal de transition;8;4;solide;1.83;1537.85;2860.85;7.874;;[Ar]4s2 3d6;+3|+2
Cobalt;le;Co;27;58.93319;métal de transition;9;4;solide;1.88;1494.85;2926.85;8.86;1735;[Ar]4s2 3d7;+3|+2
Nickel;le;Ni;28;58.693;métal de transition;10;4;solide;1.91;1454.85;2912.85;8.912;1751;[Ar]4s2 3d8;+3|+2
